Fund Holdings as of,"28/Jul/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"CTVA","CORTEVA INC","Equity","0.06","42.82","21,437.00","917,932.34","917,932.34","Materials","US22052L1044","New York Stock Exchange Inc.","United States","USD"
"EPAM","EPAM SYSTEMS INC","Equity","0.06","552.96","1,655.00","915,148.80","915,148.80","Information Technology","US29414B1044","New York Stock Exchange Inc.","United States","USD"
"8766","TOKIO MARINE HOLDINGS INC","Equity","0.06","48.07","18,974.00","912,082.30","912,082.30","Financials","JP3910660004","Tokyo Stock Exchange","Japan","JPY"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.06","162.56","5,562.00","904,158.72","904,158.72","Health Care","US98956P1021","New York Stock Exchange Inc.","United States","USD"
"GMG","GOODMAN GROUP UNITS","Equity","0.06","16.69","54,099.00","903,002.93","903,002.93","Real Estate","AU000000GMG2","Asx - All Markets","Australia","AUD"
"ASSA B","ASSA ABLOY B","Equity","0.06","32.22","27,953.00","900,665.33","900,665.33","Industrials","SE0007100581","Nasdaq Omx Nordic","Sweden","SEK"
"4901","FUJIFILM HOLDINGS CORP","Equity","0.06","73.15","12,285.00","898,698.35","898,698.35","Information Technology","JP3814000000","Tokyo Stock Exchange","Japan","JPY"
"SIVB","SVB FINANCIAL GROUP","Equity","0.06","561.70","1,598.00","897,596.60","897,596.60","Financials","US78486Q1013","NASDAQ","United States","USD"
"GLW","CORNING INC","Equity","0.06","40.84","21,974.00","897,418.16","897,418.16","Information Technology","US2193501051","New York Stock Exchange Inc.","United States","USD"
"KR","KROGER","Equity","0.06","40.03","22,401.00","896,712.03","896,712.03","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"FRC","FIRST REPUBLIC BANK","Equity","0.06","197.62","4,534.00","896,009.08","896,009.08","Financials","US33616C1009","New York Stock Exchange Inc.","United States","USD"
"ENI","ENI","Equity","0.06","11.70","76,318.00","893,039.97","893,039.97","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
"WKL","WOLTERS KLUWER NV","Equity","0.06","111.13","8,014.00","890,577.32","890,577.32","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"DB1","DEUTSCHE BOERSE AG","Equity","0.06","165.31","5,362.00","886,397.56","886,397.56","Financials","DE0005810055","Xetra","Germany","EUR"
"AMS","AMADEUS IT GROUP SA","Equity","0.06","67.42","13,135.00","885,592.48","885,592.48","Information Technology","ES0109067019","Bolsa De Madrid","Spain","EUR"
"6273","SMC (JAPAN) CORP","Equity","0.06","589.59","1,500.00","884,388.34","884,388.34","Industrials","JP3162600005","Tokyo Stock Exchange","Japan","JPY"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.06","227.45","3,888.00","884,325.60","884,325.60","Real Estate","US0534841012","New York Stock Exchange Inc.","United States","USD"
"ANSS","ANSYS INC","Equity","0.05","362.63","2,432.00","881,916.16","881,916.16","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"WMB","WILLIAMS INC","Equity","0.05","25.30","34,837.00","881,376.10","881,376.10","Energy","US9694571004","New York Stock Exchange Inc.","United States","USD"
"NUE","NUCOR CORP","Equity","0.05","99.40","8,853.00","879,988.20","879,988.20","Materials","US6703461052","New York Stock Exchange Inc.","United States","USD"
"VRSK","VERISK ANALYTICS INC","Equity","0.05","185.27","4,739.00","877,994.53","877,994.53","Industrials","US92345Y1064","NASDAQ","United States","USD"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Equity","0.05","101.44","8,640.00","876,423.16","876,423.16","Financials","GB00B0SWJX34","London Stock Exchange","United Kingdom","GBP"
"O39","OVERSEA-CHINESE BANKING LTD","Equity","0.05","8.88","98,274.00","872,663.00","872,663.00","Financials","SG1S04926220","Singapore Exchange","Singapore","SGD"
"AMP","AMERIPRISE FINANCE INC","Equity","0.05","252.06","3,461.00","872,379.66","872,379.66","Financials","US03076C1062","New York Stock Exchange Inc.","United States","USD"
"STT","STATE STREET CORP","Equity","0.05","86.24","10,088.00","869,989.12","869,989.12","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.05","62.50","13,900.00","868,750.00","868,750.00","Utilities","US7445731067","New York Stock Exchange Inc.","United States","USD"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.05","283.19","3,048.00","863,163.12","863,163.12","Health Care","US50540R4092","New York Stock Exchange Inc.","United States","USD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.05","198.98","4,337.00","862,976.26","862,976.26","Real Estate","US0152711091","New York Stock Exchange Inc.","United States","USD"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.05","144.98","5,912.00","857,121.76","857,121.76","Energy","US7237871071","New York Stock Exchange Inc.","United States","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.05","384.01","2,229.00","855,958.29","855,958.29","Health Care","US9553061055","New York Stock Exchange Inc.","United States","USD"
"SLF","SUN LIFE FINANCIAL INC","Equity","0.05","50.84","16,828.00","855,615.66","855,615.66","Financials","CA8667961053","Toronto Stock Exchange","Canada","CAD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.05","160.15","5,340.00","855,201.00","855,201.00","Information Technology","US49338L1035","New York Stock Exchange Inc.","United States","USD"
"FAST","FASTENAL","Equity","0.05","54.02","15,811.00","854,110.22","854,110.22","Industrials","US3119001044","NASDAQ","United States","USD"
"HEIA","HEINEKEN NV","Equity","0.05","118.47","7,208.00","853,909.99","853,909.99","Consumer Staples","NL0000009165","Euronext Amsterdam","Netherlands","EUR"
"PTON","PELOTON INTERACTIVE CLASS A INC","Equity","0.05","121.92","6,987.00","851,855.04","851,855.04","Consumer Discretionary","US70614W1009","NASDAQ","United States","USD"
"PCAR","PACCAR INC","Equity","0.05","82.75","10,289.00","851,414.75","851,414.75","Industrials","US6937181088","NASDAQ","United States","USD"
"FNV","FRANCO NEVADA CORP","Equity","0.05","152.41","5,563.00","847,840.56","847,840.56","Materials","CA3518581051","Toronto Stock Exchange","Canada","CAD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Equity","0.05","10.37","81,405.00","844,537.64","844,537.64","Industrials","AU000000TCL6","Asx - All Markets","Australia","AUD"
"FMG","FORTESCUE METALS GROUP LTD","Equity","0.05","18.94","44,150.00","836,059.59","836,059.59","Materials","AU000000FMG4","Asx - All Markets","Australia","AUD"
"GEBN","GEBERIT AG","Equity","0.05","809.23","1,030.00","833,509.08","833,509.08","Industrials","CH0030170408","SIX Swiss Exchange","Switzerland","CHF"
"KKR","KKR AND CO INC","Equity","0.05","62.45","13,344.00","833,332.80","833,332.80","Financials","US48251W1045","New York Stock Exchange Inc.","United States","USD"
"4911","SHISEIDO LTD","Equity","0.05","68.50","12,100.00","828,791.21","828,791.21","Consumer Staples","JP3351600006","Tokyo Stock Exchange","Japan","JPY"
"GMAB","GENMAB","Equity","0.05","444.53","1,859.00","826,386.07","826,386.07","Health Care","DK0010272202","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"VLO","VALERO ENERGY CORP","Equity","0.05","67.30","12,251.00","824,492.30","824,492.30","Energy","US91913Y1001","New York Stock Exchange Inc.","United States","USD"
"SAND","SANDVIK","Equity","0.05","26.09","31,506.00","822,114.59","822,114.59","Industrials","SE0000667891","Nasdaq Omx Nordic","Sweden","SEK"
"HEXA B","HEXAGON CLASS B","Equity","0.05","16.33","50,063.00","817,549.16","817,549.16","Information Technology","SE0015961909","Nasdaq Omx Nordic","Sweden","SEK"
"ES","EVERSOURCE ENERGY","Equity","0.05","86.38","9,458.00","816,982.04","816,982.04","Utilities","US30040W1080","New York Stock Exchange Inc.","United States","USD"
"ORSTED","ORSTED","Equity","0.05","151.83","5,368.00","815,004.32","815,004.32","Utilities","DK0060094928","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"OKTA","OKTA INC CLASS A","Equity","0.05","250.50","3,252.00","814,626.00","814,626.00","Information Technology","US6792951054","NASDAQ","United States","USD"
"LEN","LENNAR A CORP","Equity","0.05","100.90","8,033.00","810,529.70","810,529.70","Consumer Discretionary","US5260571048","New York Stock Exchange Inc.","United States","USD"
"LR","LEGRAND SA","Equity","0.05","109.24","7,419.00","810,449.86","810,449.86","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"CPRT","COPART INC","Equity","0.05","145.60","5,542.00","806,915.20","806,915.20","Industrials","US2172041061","NASDAQ","United States","USD"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.05","91.00","8,850.00","805,350.00","805,350.00","Real Estate","US12504L1098","New York Stock Exchange Inc.","United States","USD"
"VFC","VF CORP","Equity","0.05","82.80","9,677.00","801,255.60","801,255.60","Consumer Discretionary","US9182041080","New York Stock Exchange Inc.","United States","USD"
"4543","TERUMO CORP","Equity","0.05","39.05","20,500.00","800,563.07","800,563.07","Health Care","JP3546800008","Tokyo Stock Exchange","Japan","JPY"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.05","175.79","4,551.00","800,020.29","800,020.29","Communication","US5303073051","NASDAQ","United States","USD"
"KHC","KRAFT HEINZ","Equity","0.05","38.92","20,267.00","788,791.64","788,791.64","Consumer Staples","US5007541064","NASDAQ","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.05","545.74","1,441.00","786,411.34","786,411.34","Information Technology","US9892071054","NASDAQ","United States","USD"
"4661","ORIENTAL LAND LTD","Equity","0.05","139.86","5,600.00","783,216.78","783,216.78","Consumer Discretionary","JP3198900007","Tokyo Stock Exchange","Japan","JPY"
"RSG","REPUBLIC SERVICES INC","Equity","0.05","115.35","6,779.00","781,957.65","781,957.65","Industrials","US7607591002","New York Stock Exchange Inc.","United States","USD"
"6503","MITSUBISHI ELECTRIC CORP","Equity","0.05","13.53","57,500.00","777,824.45","777,824.45","Industrials","JP3902400005","Tokyo Stock Exchange","Japan","JPY"
"7751","CANON INC","Equity","0.05","23.56","32,900.00","775,216.15","775,216.15","Information Technology","JP3242800005","Tokyo Stock Exchange","Japan","JPY"
"NESTE","NESTE","Equity","0.05","61.62","12,530.00","772,060.87","772,060.87","Energy","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"WY","WEYERHAEUSER REIT","Equity","0.05","34.37","22,343.00","767,928.91","767,928.91","Real Estate","US9621661043","New York Stock Exchange Inc.","United States","USD"
"BLL","BALL CORP","Equity","0.05","81.17","9,458.00","767,705.86","767,705.86","Materials","US0584981064","New York Stock Exchange Inc.","United States","USD"
"NA","NATIONAL BANK OF CANADA","Equity","0.05","74.65","10,279.00","767,318.87","767,318.87","Financials","CA6330671034","Toronto Stock Exchange","Canada","CAD"
"5108","BRIDGESTONE CORP","Equity","0.05","43.50","17,600.00","765,634.37","765,634.37","Consumer Discretionary","JP3830800003","Tokyo Stock Exchange","Japan","JPY"
"7733","OLYMPUS CORP","Equity","0.05","20.47","37,400.00","765,424.58","765,424.58","Health Care","JP3201200007","Tokyo Stock Exchange","Japan","JPY"
"ML","MICHELIN","Equity","0.05","160.41","4,741.00","760,523.73","760,523.73","Consumer Discretionary","FR0000121261","Nyse Euronext - Euronext Paris","France","EUR"
"KNEBV","KONE","Equity","0.05","82.20","9,250.00","760,306.68","760,306.68","Industrials","FI0009013403","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.05","97.45","7,802.00","760,304.90","760,304.90","Information Technology","US57772K1016","NASDAQ","United States","USD"
"HSY","HERSHEY FOODS","Equity","0.05","176.50","4,305.00","759,832.50","759,832.50","Consumer Staples","US4278661081","New York Stock Exchange Inc.","United States","USD"
"EOAN","E.ON N","Equity","0.05","12.30","61,717.00","759,106.68","759,106.68","Utilities","DE000ENAG999","Xetra","Germany","EUR"
"HUBS","HUBSPOT INC","Equity","0.05","589.02","1,287.00","758,068.74","758,068.74","Information Technology","US4435731009","New York Stock Exchange Inc.","United States","USD"
"U11","UNITED OVERSEAS BANK LTD","Equity","0.05","19.07","39,723.00","757,491.38","757,491.38","Financials","SG1M31001969","Singapore Exchange","Singapore","SGD"
"MRK","MERCK","Equity","0.05","204.49","3,705.00","757,618.17","757,618.17","Health Care","DE0006599905","Xetra","Germany","EUR"
"SREN","SWISS RE AG","Equity","0.05","91.93","8,234.00","756,929.95","756,929.95","Financials","CH0126881561","SIX Swiss Exchange","Switzerland","CHF"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.05","10.17","74,344.00","755,800.85","755,800.85","Financials","CH0012138530","SIX Swiss Exchange","Switzerland","CHF"
"FLTR","FLUTTER ENTERTAINMENT PLC","Equity","0.05","173.98","4,339.00","754,914.96","754,914.96","Consumer Discretionary","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","EUR"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.05","201.60","3,724.00","750,758.40","750,758.40","Financials","IE00BDB6Q211","NASDAQ","United States","USD"
"4519","CHUGAI PHARMACEUTICAL LTD","Equity","0.05","37.24","20,100.00","748,433.38","748,433.38","Health Care","JP3519400000","Tokyo Stock Exchange","Japan","JPY"
"IT","GARTNER INC","Equity","0.05","262.10","2,850.00","746,985.00","746,985.00","Information Technology","US3666511072","New York Stock Exchange Inc.","United States","USD"
"BBY","BEST BUY INC","Equity","0.05","113.06","6,590.00","745,065.40","745,065.40","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"6752","PANASONIC CORP","Equity","0.05","12.04","61,800.00","744,226.68","744,226.68","Consumer Discretionary","JP3866800000","Tokyo Stock Exchange","Japan","JPY"
"RACE","FERRARI NV","Equity","0.05","211.68","3,491.00","738,985.46","738,985.46","Consumer Discretionary","NL0011585146","Borsa Italiana","Italy","EUR"
"NET","CLOUDFLARE INC CLASS A","Equity","0.05","119.75","6,158.00","737,420.50","737,420.50","Information Technology","US18915M1071","New York Stock Exchange Inc.","United States","USD"
"GNRC","GENERAC HOLDINGS INC","Equity","0.05","431.04","1,701.00","733,199.04","733,199.04","Industrials","US3687361044","New York Stock Exchange Inc.","United States","USD"
"FITB","FIFTH THIRD BANCORP","Equity","0.05","36.45","20,083.00","732,025.35","732,025.35","Financials","US3167731005","NASDAQ","United States","USD"
"ENGI","ENGIE SA","Equity","0.05","13.64","53,313.00","727,075.34","727,075.34","Utilities","FR0010208488","Nyse Euronext - Euronext Paris","France","EUR"
"SSE","SSE PLC","Equity","0.05","21.27","34,101.00","725,263.87","725,263.87","Utilities","GB0007908733","London Stock Exchange","United Kingdom","GBP"
"6326","KUBOTA CORP","Equity","0.04","21.01","34,300.00","720,514.94","720,514.94","Industrials","JP3266400005","Tokyo Stock Exchange","Japan","JPY"
"STM","STMICROELECTRONICS NV","Equity","0.04","39.15","18,350.00","718,307.84","718,307.84","Information Technology","NL0000226223","Nyse Euronext - Euronext Paris","France","EUR"
"8591","ORIX CORP","Equity","0.04","17.44","41,154.00","717,606.76","717,606.76","Financials","JP3200450009","Tokyo Stock Exchange","Japan","JPY"
"VMC","VULCAN MATERIALS","Equity","0.04","182.98","3,919.00","717,098.62","717,098.62","Materials","US9291601097","New York Stock Exchange Inc.","United States","USD"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.04","98.96","7,210.00","713,501.60","713,501.60","Materials","NL0009434992","New York Stock Exchange Inc.","United States","USD"
"TEF","TELEFONICA SA","Equity","0.04","4.50","158,153.00","711,833.89","711,833.89","Communication","ES0178430E18","Bolsa De Madrid","Spain","EUR"
"ETSY","ETSY INC","Equity","0.04","202.94","3,497.00","709,681.18","709,681.18","Consumer Discretionary","US29786A1060","NASDAQ","United States","USD"
"CLX","CLOROX","Equity","0.04","181.71","3,886.00","706,125.06","706,125.06","Consumer Staples","US1890541097","New York Stock Exchange Inc.","United States","USD"
"KSU","KANSAS CITY SOUTHERN","Equity","0.04","261.05","2,703.00","705,618.15","705,618.15","Industrials","US4851703029","New York Stock Exchange Inc.","United States","USD"
"AJG","ARTHUR J GALLAGHER","Equity","0.04","137.51","5,132.00","705,701.32","705,701.32","Financials","US3635761097","New York Stock Exchange Inc.","United States","USD"
"MG","MAGNA INTERNATIONAL INC","Equity","0.04","81.63","8,641.00","705,363.92","705,363.92","Consumer Discretionary","CA5592224011","Toronto Stock Exchange","Canada","CAD"
"CDW","CDW CORP","Equity","0.04","180.32","3,900.00","703,248.00","703,248.00","Information Technology","US12514G1085","NASDAQ","United States","USD"
"AKZA","AKZO NOBEL NV","Equity","0.04","121.89","5,750.00","700,860.80","700,860.80","Materials","NL0013267909","Euronext Amsterdam","Netherlands","EUR"
"DBK","DEUTSCHE BANK AG","Equity","0.04","12.39","56,174.00","695,966.37","695,966.37","Financials","DE0005140008","Xetra","Germany","EUR"
"DLTR","DOLLAR TREE INC","Equity","0.04","99.03","6,979.00","691,130.37","691,130.37","Consumer Discretionary","US2567461080","NASDAQ","United States","USD"
"SYF","SYNCHRONY FINANCIAL","Equity","0.04","47.21","14,636.00","690,965.56","690,965.56","Financials","US87165B1035","New York Stock Exchange Inc.","United States","USD"
"ED","CONSOLIDATED EDISON INC","Equity","0.04","74.59","9,251.00","690,032.09","690,032.09","Utilities","US2091151041","New York Stock Exchange Inc.","United States","USD"
"CERN","CERNER CORP","Equity","0.04","78.76","8,758.00","689,780.08","689,780.08","Health Care","US1567821046","NASDAQ","United States","USD"
"VIAC","VIACOMCBS INC CLASS B","Equity","0.04","41.65","16,553.00","689,432.45","689,432.45","Communication","US92556H2067","NASDAQ","United States","USD"
"TEP","TELEPERFORMANCE","Equity","0.04","417.47","1,648.00","687,984.48","687,984.48","Industrials","FR0000051807","Nyse Euronext - Euronext Paris","France","EUR"
"GRMN","GARMIN LTD","Equity","0.04","156.09","4,379.00","683,518.11","683,518.11","Consumer Discretionary","CH0114405324","NASDAQ","United States","USD"
"NDAQ","NASDAQ INC","Equity","0.04","185.53","3,681.00","682,935.93","682,935.93","Financials","US6311031081","NASDAQ","United States","USD"
"2502","ASAHI GROUP HOLDINGS LTD","Equity","0.04","45.78","14,900.00","682,144.22","682,144.22","Consumer Staples","JP3116000005","Tokyo Stock Exchange","Japan","JPY"
"ZAL","ZALANDO","Equity","0.04","115.52","5,886.00","679,933.68","679,933.68","Consumer Discretionary","DE000ZAL1111","Xetra","Germany","EUR"
"9022","CENTRAL JAPAN RAILWAY","Equity","0.04","147.44","4,600.00","678,239.94","678,239.94","Industrials","JP3566800003","Tokyo Stock Exchange","Japan","JPY"
"VIV","VIVENDI","Equity","0.04","33.11","20,392.00","675,166.82","675,166.82","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"URI","UNITED RENTALS INC","Equity","0.04","325.89","2,068.00","673,940.52","673,940.52","Industrials","US9113631090","New York Stock Exchange Inc.","United States","USD"
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.04","172.57","3,888.00","670,952.16","670,952.16","Real Estate","US30225T1025","New York Stock Exchange Inc.","United States","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","Equity","0.04","95.89","6,994.00","670,654.66","670,654.66","Information Technology","US24703L2025","New York Stock Exchange Inc.","United States","USD"
"KYGA","KERRY GROUP PLC","Equity","0.04","148.14","4,521.00","669,753.25","669,753.25","Consumer Staples","IE0004906560","Irish Stock Exchange - All Market","Ireland","EUR"
"ALB","ALBEMARLE CORP","Equity","0.04","194.54","3,428.00","666,883.12","666,883.12","Materials","US0126531013","New York Stock Exchange Inc.","United States","USD"
"1","CK HUTCHISON HOLDINGS LTD","Equity","0.04","7.39","90,000.00","665,269.71","665,269.71","Industrials","KYG217651051","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"KMX","CARMAX INC","Equity","0.04","133.30","4,945.00","659,168.50","659,168.50","Consumer Discretionary","US1431301027","New York Stock Exchange Inc.","United States","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.04","60.86","10,819.00","658,444.34","658,444.34","Financials","US4165151048","New York Stock Exchange Inc.","United States","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.04","26.90","24,418.00","656,844.20","656,844.20","Energy","US6745991058","New York Stock Exchange Inc.","United States","USD"
"ORA","ORANGE SA","Equity","0.04","11.36","57,425.00","652,312.32","652,312.32","Communication","FR0000133308","Nyse Euronext - Euronext Paris","France","EUR"
"G","ASSICURAZIONI GENERALI","Equity","0.04","19.81","32,863.00","651,060.74","651,060.74","Financials","IT0000062072","Borsa Italiana","Italy","EUR"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.04","187.69","3,464.00","650,158.16","650,158.16","Real Estate","US59522J1034","New York Stock Exchange Inc.","United States","USD"
"UPM","UPM-KYMMENE","Equity","0.04","40.80","15,884.00","648,109.63","648,109.63","Materials","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"SGSN","SGS SA","Equity","0.04","3,190.77","203.00","647,725.88","647,725.88","Industrials","CH0002497458","SIX Swiss Exchange","Switzerland","CHF"
"GLE","SOCIETE GENERALE SA","Equity","0.04","28.98","22,338.00","647,345.68","647,345.68","Financials","FR0000130809","Nyse Euronext - Euronext Paris","France","EUR"
"WAT","WATER CORP","Equity","0.04","386.22","1,669.00","644,601.18","644,601.18","Health Care","US9418481035","New York Stock Exchange Inc.","United States","USD"
"UCG","UNICREDIT","Equity","0.04","11.37","56,571.00","643,011.92","643,011.92","Financials","IT0005239360","Borsa Italiana","Italy","EUR"
"SPLK","SPLUNK INC","Equity","0.04","142.42","4,511.00","642,456.62","642,456.62","Information Technology","US8486371045","NASDAQ","United States","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.04","259.03","2,469.00","639,545.07","639,545.07","Industrials","US6795801009","NASDAQ","United States","USD"
"CHD","CHURCH AND DWIGHT INC","Equity","0.04","86.30","7,394.00","638,102.20","638,102.20","Consumer Staples","US1713401024","New York Stock Exchange Inc.","United States","USD"
"O","REALTY INCOME REIT CORP","Equity","0.04","70.33","9,063.00","637,400.79","637,400.79","Real Estate","US7561091049","New York Stock Exchange Inc.","United States","USD"
"EXPE","EXPEDIA GROUP INC","Equity","0.04","163.19","3,906.00","637,420.14","637,420.14","Consumer Discretionary","US30212P3038","NASDAQ","United States","USD"
"BFB","BROWN FORMAN CORP CLASS B","Equity","0.04","72.16","8,829.00","637,100.64","637,100.64","Consumer Staples","US1156372096","New York Stock Exchange Inc.","United States","USD"
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.04","256.79","2,477.00","636,068.83","636,068.83","Information Technology","US3390411052","New York Stock Exchange Inc.","United States","USD"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Equity","0.04","182.10","3,492.00","635,893.20","635,893.20","Health Care","US02043Q1076","NASDAQ","United States","USD"
"SGRO","SEGRO REIT PLC","Equity","0.04","16.71","38,016.00","635,328.90","635,328.90","Real Estate","GB00B5ZN1N88","London Stock Exchange","United Kingdom","GBP"
"ENPH","ENPHASE ENERGY INC","Equity","0.04","181.42","3,497.00","634,425.74","634,425.74","Information Technology","US29355A1079","NASDAQ","United States","USD"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Equity","0.04","102.50","6,188.00","634,270.00","634,270.00","Health Care","IE00BQPVQZ61","NASDAQ","United States","USD"
"DOV","DOVER CORP","Equity","0.04","162.96","3,885.00","633,099.60","633,099.60","Industrials","US2600031080","New York Stock Exchange Inc.","United States","USD"
"6301","KOMATSU LTD","Equity","0.04","25.59","24,700.00","632,024.79","632,024.79","Industrials","JP3304200003","Tokyo Stock Exchange","Japan","JPY"
"CVNA","CARVANA CLASS A","Equity","0.04","339.32","1,854.00","629,099.28","629,099.28","Consumer Discretionary","US1468691027","New York Stock Exchange Inc.","United States","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.04","170.84","3,681.00","628,862.04","628,862.04","Information Technology","US11133T1034","New York Stock Exchange Inc.","United States","USD"
"VRSN","VERISIGN INC","Equity","0.04","216.24","2,901.00","627,312.24","627,312.24","Information Technology","US92343E1029","NASDAQ","United States","USD"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.04","54.15","11,552.00","625,516.60","625,516.60","Health Care","DE0005785604","Xetra","Germany","EUR"
"7309","SHIMANO INC","Equity","0.04","271.82","2,300.00","625,183.91","625,183.91","Consumer Discretionary","JP3358000002","Tokyo Stock Exchange","Japan","JPY"
"VTR","VENTAS REIT INC","Equity","0.04","59.54","10,488.00","624,455.52","624,455.52","Real Estate","US92276F1003","New York Stock Exchange Inc.","United States","USD"
"TER","TERADYNE INC","Equity","0.04","122.08","5,114.00","624,317.12","624,317.12","Information Technology","US8807701029","NASDAQ","United States","USD"
"MT","ARCELORMITTAL SA","Equity","0.04","33.61","18,486.00","621,330.65","621,330.65","Materials","LU1598757687","Euronext Amsterdam","France","EUR"
"EIX","EDISON INTERNATIONAL","Equity","0.04","56.82","10,922.00","620,588.04","620,588.04","Utilities","US2810201077","New York Stock Exchange Inc.","United States","USD"
"TSN","TYSON FOODS INC CLASS A","Equity","0.04","71.61","8,648.00","619,283.28","619,283.28","Consumer Staples","US9024941034","New York Stock Exchange Inc.","United States","USD"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Equity","0.04","13.36","46,142.00","616,441.56","616,441.56","Financials","SE0000148884","Nasdaq Omx Nordic","Sweden","SEK"
"WLN","WORLDLINE SA","Equity","0.04","93.17","6,613.00","616,125.62","616,125.62","Information Technology","FR0011981968","Nyse Euronext - Euronext Paris","France","EUR"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.04","125.16","4,919.00","615,662.04","615,662.04","Industrials","US3021301094","NASDAQ","United States","USD"
"LGEN","LEGAL AND GENERAL GROUP PLC","Equity","0.04","3.64","169,042.00","614,713.09","614,713.09","Financials","GB0005603997","London Stock Exchange","United Kingdom","GBP"
"DWNI","DEUTSCHE WOHNEN","Equity","0.04","62.18","9,883.00","614,558.20","614,558.20","Real Estate","DE000A0HN5C6","Xetra","Germany","EUR"
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.04","331.14","1,854.00","613,933.56","613,933.56","Real Estate","US2971781057","New York Stock Exchange Inc.","United States","USD"
"NVR","NVR INC","Equity","0.04","5,064.95","121.00","612,858.95","612,858.95","Consumer Discretionary","US62944T1051","New York Stock Exchange Inc.","United States","USD"
"AV.","AVIVA PLC","Equity","0.04","5.38","113,572.00","610,677.93","610,677.93","Financials","GB0002162385","London Stock Exchange","United Kingdom","GBP"
"WPM","WHEATON PRECIOUS METALS CORP","Equity","0.04","44.95","13,571.00","609,953.19","609,953.19","Materials","CA9628791027","Toronto Stock Exchange","Canada","CAD"
"FTV","FORTIVE CORP","Equity","0.04","68.84","8,856.00","609,647.04","609,647.04","Industrials","US34959J1088","New York Stock Exchange Inc.","United States","USD"
"OKE","ONEOK INC","Equity","0.04","53.34","11,430.00","609,676.20","609,676.20","Energy","US6826801036","New York Stock Exchange Inc.","United States","USD"
"TYL","TYLER TECHNOLOGIES INC","Equity","0.04","495.67","1,227.00","608,187.09","608,187.09","Information Technology","US9022521051","New York Stock Exchange Inc.","United States","USD"
"1113","CK ASSET HOLDINGS LTD","Equity","0.04","6.86","88,500.00","607,535.87","607,535.87","Real Estate","KYG2177B1014","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"8801","MITSUI FUDOSAN LTD","Equity","0.04","23.63","25,700.00","607,314.50","607,314.50","Real Estate","JP3893200000","Tokyo Stock Exchange","Japan","JPY"
